"Subscription","Resource group","Total","NoOwner","NoCostCenter","NoEnv"
"Ulterra Azure Production","azureeastkvgroup","2","2","2","2"
"Ulterra Azure Production","azurecenbrs","2","2","2","2"
"Ulterra Azure Production","azcenusdevnetwork","2","2","2","2"
"Azure subscription 1","adira-llm-service","2","2","2","2"
"Pay-As-You-Go Dev/Test","azureapp-auto-alerts-378e52-dgreer_admin_uconnect_onmicrosoft_com","2","2","2","2"
"Azure subscription 1","documentintelligence","2","2","2","2"
"Ulterra Azure Production","iphoneconnect","2","2","2","2"
"Ulterra Azure Production","azureuaenorthnetg1","3","3","3","3"
"Ulterra Azure Production","ciscomerakiscus","3","3","3","2"
"Ulterra Azure Production","azeastpalo","3","3","3","3"
"Visual Studio Professional Subscription","uconnect2-rg","3","3","3","3"
"Ulterra Azure Production","acworkgroup","3","3","3","3"
"Ulterra Azure Production","vpn_prod","3","3","3","3"
"Ulterra Azure Production","citrix-xd-f366a8dd-8ab2-45ba-8465-35a1466a1f80-443rn","3","3","3","3"
"Ulterra Azure Production","azurebackuprg_uaenorth_1","3","3","3","3"
"Ulterra Azure Production","azmonitor-eastus-prod","3","3","3","2"
"Ulterra Azure Production","zonalmove-mc-rg-eastus","3","3","3","3"
"Ulterra Azure Production","rubrikresources","3","3","3","1"
"Ulterra Azure Production","secops","3","3","3","3"
"Ulterra Azure Production","dev_adf_resourcegroup","3","3","3","3"
"Ulterra Azure Production","citrix-xd-19cc02cd-1173-448a-a8fc-4fd17dca253b-oi46p","3","3","3","3"
"Pay-As-You-Go Dev/Test","mrg-cisco-meraki-vmx-20241118150448","4","4","4","3"
"Pay-As-You-Go Dev/Test","udtdevservers_rg-asr","4","4","4","4"
"Ulterra Azure Production","azeastpki-eastus","4","4","4","4"
"Ulterra Azure Production","mrg-cisco-meraki-vmx-20250916101109","4","4","4","4"
"Ulterra Azure Production","azeastkeyvault","4","4","4","2"
"Ulterra Azure Production","mrg-cisco-meraki-vmx-20250709103325","4","4","4","3"
"Ulterra Azure Production","azeastusproduction-asr","4","4","4","4"
"Ulterra Azure Production","ciscomerakimon","4","4","4","1"
"Ulterra Azure Production","adira_dev","4","4","4","4"
"Ulterra Azure Production","mrg-cisco-meraki-vmx-20250915185621","4","4","4","4"
"Ulterra Azure Production","logicapps","4","4","4","2"
"Ulterra Azure Production","idc2loganalytics","4","4","4","4"
"Ulterra Azure Production","oktaworkflow_rg","4","4","4","2"
"Pay-As-You-Go Dev/Test","devpatchtesting","4","4","4","0"
"Ulterra Azure Production","mrg-cisco-meraki-vmx-20250922170209","4","4","4","4"
"Pay-As-You-Go Dev/Test","defaultresourcegroup-eus","5","5","5","5"
"Ulterra Azure Production","defaultresourcegroup-cus","5","5","5","5"
"Pay-As-You-Go Dev/Test","azbrstesting","5","5","5","5"
"Ulterra Azure Production","teststudistorage","5","5","5","5"
"Ulterra Azure Production","mobile123-cordova","5","5","5","5"
"Ulterra Azure Production","defenderonprem","5","5","5","5"
"Ulterra Azure Production","azeastrsv","5","5","5","5"
"Pay-As-You-Go Dev/Test","networkwatcherrg","5","5","5","5"
"Ulterra Azure Production","defaultresourcegroup-wus2","5","5","5","5"
"Ulterra Azure Production","azsystemseastja","5","5","5","5"
"Ulterra Azure Production","bpo_dev","5","5","5","5"
"Ulterra Azure Production","azcensanusrg1","6","6","6","6"
"Ulterra Azure Production","merakivmx","6","6","6","2"
"Ulterra Azure Production","msix-resouorces","6","6","6","1"
"Ulterra Azure Production","anworkgroup","6","6","6","6"
"Ulterra Azure Production","la-ws-rg","7","7","7","4"
"Ulterra Azure Production","azureeastappsg1","7","7","7","7"
